Altium Designer Pick and Place Locations
C:\Users\fourn\Altium\AD25\Projects\Arribada\linkit-v4-hw\Project Outputs for linkit-v4-hw\smd-variant\linkit-v4-smd-v1.1\Pick Place\Pick Place for linkit-v4-1.1_6layers_smdonly(linkit-v4-hw-SMD).txt

========================================================================================================================
File Design Information:

Date:       18/08/26
Time:       09:33
Revision:   9dd4b1e34a14a6962abd63f29ea9ea0cc9533aeb
Variant:    linkit-v4-hw-SMD
Units used: mil

Designator Comment                     Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                  
J8         BM04B-GHS-TBT_LF__SN__N_    BottomLayer CONN_BM04B-GHS-TBT_JST  2623.130      415.000       270      "Headers & Wire Housings GH HEADER (SMT/TOP TYPE)"                                                                                           
J6         DF52-12S-0.8H_21_           TopLayer    DF5212S08H21            1336.773      1282.795      180      "Headers & Wire Housings Recep 12P R/A 0.8mm Pitch"                                                                                          
J5         B2B-XH-A-GU                 TopLayer    B2BXHAGU                1891.417      98.465        0        Connector                                                                                                                                    
J4         USB4215-03-A_REVA           TopLayer    GCT_USB4215-03-A_REVA   2579.941      785.079       90       "USB Connectors USB C Receptacle, Short Body, USB2.0, 16Pin, Horizontal, SMT"                                                                
D4         PMEG4005EJ                  BottomLayer SOD2512X80N             124.925       829.685       180      "Schottky Diodes & Rectifiers"                                                                                                               
D3         APHF1608LSEEQBDZGKC         TopLayer    LED_RGB_0603            1680.000      791.024       270      "LED RGB 0603 2MA"                                                                                                                           
D2         APHF1608LSEEQBDZGKC         TopLayer    LED_RGB_0603            1605.000      790.000       270      "LED RGB 0603 2MA"                                                                                                                           
D1         RB751S40                    TopLayer    SODFL1608X65N           880.000       75.984        0        "Schottky Diodes & Rectifiers 40V,Schottky,SOD-523,0.3A"                                                                                     
C40        100nF                       TopLayer    CAPC0603X33N            310.000       710.000       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT .1UF     16V   10%        0201"                                                                
C38        100nF                       TopLayer    CAPC0603X33N            1359.705      679.218       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT .1UF     16V   10%        0201"                                                                
C37        100nF                       TopLayer    CAPC0603X33N            1406.106      824.491       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT .1UF     16V   10%        0201"                                                                
C30        EMK107BBJ106MA-T            TopLayer    CAPC1709X100N           2489.252      458.114       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 963-MSASE168BB5106MT RPLCMT PN 16V 10uF X5R 0603 20%"                                          
C27        GRM155R71C104KA88D          TopLayer    0402                    2164.252      466.418       270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1 uF 16 VDC 10% 0402 X7R"                                                                    
C26        EMK107BBJ106MA-T            TopLayer    CAPC1709X100N           2114.252      461.886       270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 963-MSASE168BB5106MT RPLCMT PN 16V 10uF X5R 0603 20%"                                          
C22        GRM155R71C104KA88D          TopLayer    0402                    1898.581      265.000       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1 uF 16 VDC 10% 0402 X7R"                                                                    
C20        GRM155R61A106ME11D          TopLayer    CAPC1005X55N            1790.000      280.000       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 10 uF 10 VDC 20% 0402 X5R"                                                                     
C18        100nF                       TopLayer    CAPC0603X33N            2425.000      740.000       270      "Multilayer Ceramic Capacitors MLCC - SMD/SMT .1UF     16V   10%        0201"                                                                
C17        1uF                         TopLayer    CAPC0603X35N            2425.000      675.000       90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1uF+/-10% 10V X5R 06 0201"                                                                     
C16        GRM1555CYA103GE01D          TopLayer    GRM15x                  1455.394      1103.848      90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.01 uF 35 VDC 2% 0402 C0G (NP0)"                                                              
C15        GRM1555CYA103GE01D          TopLayer    GRM15x                  1540.514      1087.912      180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.01 uF 35 VDC 2% 0402 C0G (NP0)"                                                              
C14        GRM1555CYA103GE01D          TopLayer    GRM15x                  1646.811      1051.299      90       "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.01 uF 35 VDC 2% 0402 C0G (NP0)"                                                              
C13        GRM155R71C104KA88D          TopLayer    0402                    1421.497      953.030       180      "Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1 uF 16 VDC 10% 0402 X7R"                                                                    
C12        1uF                         TopLayer    CAPC1005X55N            1426.969      913.030       0        "Multilayer Ceramic Capacitors MLCC - SMD/SMT 1.0UF 10V 10% 0402"                                                                            
